id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
97945,Deluxw-Apartm. with roof terrace,517685,Angelika,,Hadern,48.11492,11.48954,Entire home/apt,80,2,129,2019-10-03,0.94,2,25,0,
114695,Apartment Munich/East with sundeck,581737,Stephan,,Berg am Laim,48.12071,11.63758,Entire home/apt,95,2,55,2022-09-20,0.39,2,147,2,
127383,City apartment next to Pinakothek,630556,Sonja,,Maxvorstadt,48.15199,11.56482,Entire home/apt,120,3,107,2022-06-14,0.76,1,0,5,
159634,"Fancy, bright central roof top flat and homeoffice",765694,Susana,,Pasing-Obermenzing,48.13855,11.46586,Entire home/apt,52,5,38,2022-12-15,0.27,1,2,4,
321542,Absolute quiet room,1646639,Walter,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09307,11.52147,Private room,42,14,32,2022-10-31,0.24,1,331,5,
170154,"Own floor & bath, parking & breakfast",108297,Alex,,Sendling-Westpark,48.10814,11.52733,Private room,70,3,521,2022-11-28,3.80,1,99,25,
1518352,Cosy Apartment in Munich,8104861,Isabel,,Au-Haidhausen,48.13336,11.60337,Entire home/apt,85,3,162,2022-12-21,2.25,1,254,35,
170815,Your own flat near central station!,814793,Inge,,Neuhausen-Nymphenburg,48.16071,11.54314,Entire home/apt,65,3,64,2020-02-18,0.46,1,0,0,
1518980,romantic bedroom with fourposterbed,7819546,Helena,,Au-Haidhausen,48.1279,11.60257,Private room,88,2,132,2022-11-01,1.17,1,71,53,
172672,Cozy guest room in high-end flat.,823913,Karin,,Schwabing-West,48.16341,11.56366,Private room,49,1,224,2022-05-22,2.13,2,0,9,
1536195,Flat in funky lil'Glass house,8192308,Cornelius,,Milbertshofen-Am Hart,48.18236,11.57986,Entire home/apt,105,14,14,2018-09-29,0.14,1,270,0,
392399,"Sunny room, private bathroom and roof top terrace",1962150,Christa,,Sendling,48.11397,11.54844,Private room,68,2,92,2019-11-29,0.71,1,0,0,
179640,GREEN OASIS near center & tradefair,860212,Ingrid,,Bogenhausen,48.14453,11.63769,Private room,35,2,50,2020-02-29,0.37,1,283,0,
183634,munich all-inclusive camping,880705,Toby,,Allach-Untermenzing,48.17532,11.44526,Shared room,50,1,1,2022-09-25,0.31,1,365,1,
406404,Holiday Flat in Munich Schwabing,2024648,Tammy,,Schwabing-West,48.17723,11.58283,Entire home/apt,120,180,1,2012-11-17,0.01,4,331,0,
1537237,Dream in Trudering,8196705,Franziska,,Tudering-Riem,48.11508,11.68651,Private room,56,1,85,2022-11-30,0.75,1,359,22,
186596,2-room-flat in central location,910486,Hatice,,Au-Haidhausen,48.12008,11.57725,Shared room,82,1,163,2020-01-02,1.25,2,198,0,
1553501,Stilvolle Neubauwohnung mit Grill-Loggia,8272756,Sebastian,,Schwabing-West,48.17526,11.58072,Entire home/apt,199,3,53,2022-06-15,0.49,1,2,1,
1560042,Frisch und freundlich in weiß-rot,1909709,Gabriele,,Pasing-Obermenzing,48.1597,11.45158,Private room,38,1,40,2022-10-16,0.35,3,182,5,
483093,cozy-apartment - *WLAN* PARKING,2391129,Julia Und Lisa,,Ramersdorf-Perlach,48.09748,11.63993,Entire home/apt,75,2,185,2022-09-18,1.44,3,268,16,
187359,Charming apartment near City Center,901209,Christian,,Neuhausen-Nymphenburg,48.15638,11.53935,Private room,95,2,38,2022-10-29,0.28,1,89,6,
485613,Artsy Altbauwohnung im Zentrum Münchens,1488030,Natalie,,Neuhausen-Nymphenburg,48.14865,11.53318,Entire home/apt,110,4,52,2022-05-30,0.43,2,71,1,
1576125,Quiet and Relaxing Room with own Bath,8378646,Ralf,,Allach-Untermenzing,48.17912,11.46728,Private room,38,1,38,2019-10-19,0.56,2,0,0,
1576417,Quiet and Relaxing Rooms with own Bath for 3People,8378646,Ralf,,Allach-Untermenzing,48.18063,11.46759,Private room,44,1,58,2020-01-19,0.90,2,0,0,
187386,"bedroom, with 2 single beds and tv",901512,Janine,,Berg am Laim,48.12031,11.62787,Private room,59,2,17,2022-08-28,0.12,2,96,1,
189551,Beautiful Attic Floor Dwelling,914449,Peter,,Schwanthalerhöhe,48.13592,11.54427,Entire home/apt,303,3,375,2022-12-17,2.79,2,348,16,
1583637,Comfortable & next to the Oktoberfest,3664843,Florian,,Ludwigsvorstadt-Isarvorstadt,48.13296,11.55499,Private room,69,2,150,2022-10-03,1.49,1,0,20,
1585526,Tolle Altbauwohnung nahe Theresienwiese,7680306,Katharina,,Schwanthalerhöhe,48.1385,11.52979,Private room,235,3,4,2018-11-15,0.05,2,365,0,
1591094,"geräumig, freundlich, hell, blau",1909709,Gabriele,,Pasing-Obermenzing,48.1597,11.45158,Private room,39,1,41,2022-12-15,0.37,3,0,3,
502791,Relaxen im Apartment Fasangarten.,1293120,Marianne,,Ramersdorf-Perlach,48.09888,11.61023,Private room,45,3,58,2022-12-26,0.50,1,109,27,
189582,CLASSY APARTMENT in Munich,914564,Christiane,,Bogenhausen,48.15556,11.64903,Private room,26,30,14,2022-07-31,0.11,1,0,1,
505041,centrally quiet 2 pieces flat 01.01.-30.april.22,1037376,Doris,,Ludwigsvorstadt-Isarvorstadt,48.12446,11.56009,Entire home/apt,43,60,7,2022-04-30,0.06,2,106,1,
189606,"Nice apartment near river ""Isar""",914691,Klaus,,Au-Haidhausen,48.126277923583984,11.579534530639648,Entire home/apt,65,2,211,2022-11-28,1.54,2,301,30,
526430,"Room near OCTOBERFEST, free WLAN, free Parking",2587491,Edmond,,Sendling-Westpark,48.11461,11.53505,Private room,92,1,91,2022-11-13,0.72,1,331,19,
190383,WOW! direct binding to trade fairs,919644,Christine,,Berg am Laim,48.12424,11.63186,Private room,33,2,162,2022-11-27,1.24,1,118,12,
1593284,Mollies- Zimmer in schicker WG,8498436,Elke,,Ramersdorf-Perlach,48.11678,11.60533,Private room,29,7,60,2021-04-16,0.53,2,47,0,
1593971,Leos  - Zimmer in schicker WG,8498436,Elke,,Ramersdorf-Perlach,48.11708,11.60471,Private room,35,3,76,2022-10-28,0.72,2,96,5,
190653,Pretty and renovated apartment,919917,Werner,,Ludwigsvorstadt-Isarvorstadt,48.12951,11.56103,Entire home/apt,86,2,192,2022-11-03,1.47,1,307,21,
532047,"Nice, comfortable Studio w. balcony",1210398,Olivera,,Milbertshofen-Am Hart,48.1787,11.56812,Entire home/apt,50,30,2,2017-09-30,0.02,4,57,0,
